station,id,longitude,latitude,altitude,departement
CHOLET,49099004,-0.891667,46.996667,130,49
CHOMERAC_SA_RCE,7066001,4.648333,44.6995,216,7
CIVRAY,86078002,0.298667,46.160333,143,86
CLERMONTFD,63113001,3.149333,45.786833,331,63
COGNAC,16089001,-0.315833,45.665,30,16
COGOLIN_SAPC,83042001,6.510333,43.261667,31,83
COLLOBRIERES_SAPC,83043005,6.258,43.232167,128,83
COLOMBELAFOSSECIVC,10102001,4.779667,48.261667,252,10
COLOMBIER_VIEUX_SA,7069001,4.698,45.063667,408,7
COLTINES,15053001,2.990667,45.074667,979,15
COL_DE_LA_LOGE_SAPC,42040001,3.780333,45.743833,1261,42
COMPSSURARTUBY,83044003,6.471333,43.658833,892,83
CONCA,20092001,9.3485,41.717,253,20
COURPIERE,63125001,3.533333,45.75,325,63
CUERS,83049005,6.131333,43.247667,72,83
DAX,40088002,-1.055,43.706667,15,40
DIE,26113003,5.3435,44.767667,384,26
DIJONLONGVIC,21473001,5.088333,47.267833,219,21
DINARD,35228001,-2.076333,48.584833,65,35
DIVAJEU,26115001,4.990333,44.726833,175,26
DONZERE,26116001,4.711667,44.443333,90,26
DRAGUIGNAN_SAPC,83050007,6.453333,43.526167,173,83
DUMONT_DURVILLE,98404003,140.001,-66.663167,43,984
DURBANCORBIERES,11124003,2.819167,42.993167,120,11
EGLETONS,19073006,2.059167,45.398833,610,19
EMBRUN,5046001,6.508667,44.571167,873,5
EPENOY,25219002,6.366333,47.127167,752,25
ERNEE,53096004,-0.9625,48.295667,168,53
ETOILE,26124001,4.8895,44.819,145,26
EUS,66074002,2.446333,42.630167,321,66
EVREUXHUEST,27347001,1.221667,49.025,138,27
EYMOUTIERS,87064005,1.701167,45.733833,557,87
FAAA,98715002,-149.614333,-17.555167,2,987
FAYETLECHATEA,63157001,3.429167,45.696667,585,63
FECLAZ_SAPC,73098003,5.983667,45.647167,1328,73
FELINES_SAPC,43093001,3.742833,45.265833,1014,43
FELLETIN,23079002,2.186,45.880167,635,23
FERRIERELARCON,37107001,0.875,46.9875,116,37
FEURS,42094003,4.233833,45.7385,347,42
FIGARI,20114002,9.103667,41.505167,20,20
FIRMINY,42095001,4.2885,45.378167,515,42
FIXSTGENEYS,43095001,3.665,45.145833,1102,43
FONDETTES,37109001,0.604167,47.425333,93,37
FONTAINEDUBER_SAPC,63263005,2.991667,45.7995,971,63
FONTAINEGUERIN,49138001,-0.167833,47.493167,41,49
FONTENAY,85092002,-0.813333,46.466667,14,85
FREJUS,73157004,6.674167,45.193667,1228,73
FROTEY_SAPC,70261001,6.1965,47.639167,360,70
GALLARGUES_LE_MONTUEUX,30123001,4.171667,43.714833,17,30
GAP,5061008,6.091667,44.568333,750,5
GELLES,63163001,2.799333,45.7535,784,63
GENERARGUES,30129001,3.977667,44.073333,139,30
GENOUILLAC,23089001,1.985,46.352333,306,23
GERMAINECIVC,51266002,4.032333,49.123167,172,51
GILLOTAEROPORT,97418110,55.528667,-20.892167,8,974
GLANDAGE_SAPC,26142001,5.615167,44.674667,1007,26
GOURDON,46127001,1.396667,44.745,260,46
GRAMMOND_SAPC,42102002,4.442833,45.564833,803,42
GRENOBLE_LVD,38538002,5.8485,45.217167,220,38
GREZENBOUERE,53110002,-0.542333,47.891,93,53
GROSPIERRES_SA,7101002,4.295833,44.4115,107,7
GUERET_BONGEOT,23096001,1.879333,46.1805,402,23
GUILLONVILLE_CA28,28190001,1.666167,48.091333,132,28
HIHIFO,98613001,-176.194167,-13.239833,30,986
HIVAOA,98723001,-139.035667,-9.806,51,987
HYERES,83069001,6.147,43.1005,2,83
ISSOIRE,63178001,3.262333,45.535333,372,63
ISSOUDUN,36088004,1.978,46.9425,138,36
ISTRES,13047002,4.988333,43.513333,44,13
JALOGNY_SAPC,71240001,4.651,46.402167,246,71
JEULESBOISAUTO,36089003,1.798333,46.661667,185,36
JOUELESTOURS,37122003,0.665333,47.337167,93,37
JOYEUSE,7110003,4.238333,44.48,160,7
KERGUELEN,98404001,70.243333,-49.352333,29,984
KERPERT,22092001,-3.147667,48.404,281,22
KOUMAC,98812001,164.284167,-20.558667,25,988
KOUROU_CSG,97304003,-52.748,5.209167,17,973
LABECEDE_LAURAGAIS_SAPC,11181002,2.022167,43.3895,408,11
LABLACHERE,7117002,4.208333,44.480833,295,7
LAMENTINAERO,97213004,-60.995667,14.595333,3,972
LANDESGENUSSON,85119001,-1.1255,46.968333,100,85
LANDOSCHARBON,43111002,3.843667,44.858,1148,43
LANNION_AERO,22113006,-3.468667,48.755333,85,22
LANOEBLANCHE,35202001,-1.765,47.780167,89,35
LANTOSQUE_SAPC,6074005,7.307,43.972,550,6
LANVEOC,29120001,-4.439333,48.279333,81,29
LARAGNE_MONTEGLIN,5070003,5.7945,44.319167,565,5
LAVALENTRAMMES,53094001,-0.739333,48.032333,99,53
LA_COURTINE,23067001,2.263667,45.702667,772,23
LA_GRAND_COMBE,30132002,4.023333,44.245,415,30
LA_MOTTE_DU_CAIRE,4134002,6.0305,44.326667,665,4
LA_PESSE,39413001,5.843,46.302833,1133,39
LA_ROCHE_SUR_YON,85191003,-1.381833,46.705,88,85
LA_SOUTERRAINE,23176001,1.451833,46.2425,370,23
LA_VACQUERIE_SAPC,34317001,3.457833,43.792,620,34
LERE,18125004,2.893167,47.457833,139,18
LESRICEYSCIVC,10317002,4.3305,47.981333,274,10
LES_ARCS_SAPC,83004004,6.470833,43.451,55,83
LETOUQUET,62826001,1.622833,50.5145,5,62
LE_BOURGET,95088001,2.427667,48.967333,49,95
