nom_fichier,station,id,longitude,latitude,altitude,departement
ABBEVILLE_2015_80,ABBEVILLE,80001005,1.835,50.106667,68,80
AERO_ROANNE_2015_42,AERO_ROANNE,42253002,4.0045,46.055,337,42
AGENLA_GARENNE_2015_47,AGENLA_GARENNE,47091001,0.594667,44.172167,58,47
AHUN_LYCEE_2015_23,AHUN_LYCEE,23001001,2.029833,46.093333,460,23
AIGUILLES_ROUGESNIVOSE_2015_74,AIGUILLES_ROUGESNIVOSE,74056405,6.896833,45.986333,2365,74
AIXLES_MILLES_2015_13,AIXLES_MILLES,13001006,5.365667,43.504667,106,13
AJACCIO_2015_20,AJACCIO,20004002,8.792667,41.918,5,20
ALAIGNE_2015_11,ALAIGNE,11004001,2.098333,43.1125,293,11
ALBA_SA_2015_07,ALBA_SA,7005002,4.582833,44.538833,223,7
ALBIEZ_2015_73,ALBIEZ,73013001,6.341,45.2155,1540,73
ALBI_2015_81,ALBI,81004006,2.141667,43.928333,170,81
ALBON_2015_26,ALBON,26002003,4.822333,45.252333,153,26
ALENCON_2015_61,ALENCON,61001001,0.110167,48.4455,143,61
ALISTRO_2015_20,ALISTRO,20303002,9.5415,42.259667,65,20
ALLAINES_2015_28,ALLAINES,28002001,1.846833,48.1905,133,28
AMBERIEU_2015_01,AMBERIEU,1089001,5.329333,45.9765,250,1
AMBERT_2015_63,AMBERT,63003004,3.742667,45.516833,555,63
AMBOISE_LYCEE_2015_37,AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
ANGERS_VILLE_2015_49,ANGERS_VILLE,49007011,-0.5605,47.4535,35,49
ANGRIE_2015_49,ANGRIE,49008001,-0.970333,47.561667,65,49
ANZATLELUGUET_SAPC_2015_63,ANZATLELUGUET_SAPC,63006002,3.016,45.320167,1270,63
ARBENT_2015_01,ARBENT,1014001,5.65,46.266667,535,1
ARGENTAN_2015_61,ARGENTAN,61006005,0.0115,48.718167,170,61
ARGENTAT_2015_19,ARGENTAT,19010001,1.9375,45.101333,190,19
ARGENTON_2015_36,ARGENTON,36006001,1.518333,46.586667,108,36
ARVIEUX_2015_05,ARVIEUX,5007003,6.728,44.796,1825,5
ARZAL_2015_56,ARZAL,56004001,-2.382667,47.512667,26,56
ASCROS_2015_06,ASCROS,6005001,7.013667,43.922,1173,6
AUBAGNE_2015_13,AUBAGNE,13005001,5.578333,43.29,131,13
AUBENAS_SA_2015_07,AUBENAS_SA,7019005,4.409833,44.601667,176,7
AUBIGNYSURNERE_2015_18,AUBIGNYSURNERE,18015003,2.427333,47.4995,176,18
AUBUSSON_SAPC_2015_23,AUBUSSON_SAPC,23008004,2.187833,45.957833,486,23
AUCH_2015_32,AUCH,32013005,0.601167,43.689,122,32
AUPS_2015_83,AUPS,83007004,6.1875,43.641,497,83
AURAY_2015_56,AURAY,56007001,-2.971,47.659167,26,56
AUSSOISCLIM_2015_73,AUSSOISCLIM,73023001,6.744333,45.229833,1467,73
AUXERREPERRIGNY_2015_89,AUXERREPERRIGNY,89295001,3.549667,47.824667,152,89
AUZANCES_SAPC_2015_23,AUZANCES_SAPC,23013001,2.489333,46.0215,564,23
AVIGNON_2015_84,AVIGNON,84007005,4.9025,43.911333,34,84
AVIZECIVC_2015_51,AVIZECIVC,51029004,4.01,48.978,175,51
AVORD_2015_18,AVORD,18092001,2.642167,47.052167,175,18
AYZE_2015_74,AYZE,74024001,6.431333,46.0795,449,74
BALEMULHOUSE_2015_68,BALEMULHOUSE,68297001,7.51,47.614333,263,68
BANDESAPT_2015_88,BANDESAPT,88033002,6.991833,48.345833,590,88
BARCELONNETTE_2015_04,BARCELONNETTE,4019005,6.65,44.388333,1135,4
BASTIA_2015_20,BASTIA,20148001,9.485167,42.540667,10,20
BAUDEMONT_SAPC_2015_71,BAUDEMONT_SAPC,71022001,4.296667,46.2765,337,71
BEAUBERY_2015_71,BEAUBERY,71025001,4.400167,46.406,465,71
BEAUCOUZE_2015_49,BEAUCOUZE,49020001,-0.614333,47.479,50,49
BEAUFORTSGERV_2015_26,BEAUFORTSGERV,26035001,5.139,44.778,379,26
BEAUMONT_DU_LAC_2015_87,BEAUMONT_DU_LAC,87009003,1.863167,45.8015,670,87
BEAUMONT_SAPC_2015_37,BEAUMONT_SAPC,37023002,1.211667,47.177167,126,37
BEAUVAISTILLE_2015_60,BEAUVAISTILLE,60639001,2.127167,49.4465,89,60
BEDARIEUX_2015_34,BEDARIEUX,34028001,3.156667,43.615,224,34
BELLECOTENIVOSE_2015_73,BELLECOTENIVOSE,73071403,6.771167,45.489,2992,73
BELLEGARDEEND_2015_26,BELLEGARDEEND,26047001,5.454333,44.535167,1017,26
BELLEME_SAPC_2015_61,BELLEME_SAPC,61426001,0.55,48.373833,168,61
