nom_fichier,station,id,longitude,latitude,altitude,departement
AGENLA_GARENNE_2001_47,AGENLA_GARENNE,47091001,0.594667,44.172167,58,47
AJACCIO_2001_20,AJACCIO,20004002,8.792667,41.918,5,20
ALBA_SA_2001_07,ALBA_SA,7005002,4.582833,44.538833,223,7
ALBI_2001_81,ALBI,81004006,2.141667,43.928333,170,81
ALENCON_2001_61,ALENCON,61001001,0.110167,48.4455,143,61
ALISTRO_2001_20,ALISTRO,20303002,9.5415,42.259667,65,20
ALTKIRCH_2001_68,ALTKIRCH,68004001,7.253333,47.618333,350,68
ALZON_2001_30,ALZON,30009001,3.444,43.979,611,30
AMBERIEU_2001_01,AMBERIEU,1089001,5.329333,45.9765,250,1
AMBOISE_LYCEE_2001_37,AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
ANTRAIGUES_SA_2001_07,ANTRAIGUES_SA,7011004,4.352167,44.712167,600,7
ARBOIS_SAPC_2001_39,ARBOIS_SAPC,39013004,5.740167,46.896,313,39
ARGENTAN_2001_61,ARGENTAN,61006005,0.0115,48.718167,170,61
ARGENTAT_2001_19,ARGENTAT,19010001,1.9375,45.101333,190,19
ARVIGNA_2001_09,ARVIGNA,9022001,1.729167,43.057833,370,9
ARZAL_2001_56,ARZAL,56004001,-2.382667,47.512667,26,56
AUBERIVE_SAPC_2001_52,AUBERIVE_SAPC,52023002,5.0535,47.783,349,52
AUCH_2001_32,AUCH,32013005,0.601167,43.689,122,32
AUPS_2001_83,AUPS,83007004,6.1875,43.641,497,83
AURILLAC_2001_15,AURILLAC,15014004,2.419167,44.8915,632,15
AUXERRE_2001_89,AUXERRE,89346001,3.5455,47.8015,207,89
AVIGNON_2001_84,AVIGNON,84007005,4.9025,43.911333,34,84
AVIZECIVC_2001_51,AVIZECIVC,51029004,4.01,48.978,175,51
AVORD_2001_18,AVORD,18092001,2.642167,47.052167,175,18
BADONVILLERSA_2001_54,BADONVILLERSA,54040003,6.9,48.495,332,54
BALEMULHOUSE_2001_68,BALEMULHOUSE,68297001,7.51,47.614333,263,68
BASTIA_2001_20,BASTIA,20148001,9.485167,42.540667,10,20
BEAUCOUZE_2001_49,BEAUCOUZE,49020001,-0.614333,47.479,50,49
BEAUMONT_SAPC_2001_37,BEAUMONT_SAPC,37023002,1.211667,47.177167,126,37
BELLAC_2001_87,BELLAC,87011002,1.052667,46.120333,241,87
BELLEME_SAPC_2001_61,BELLEME_SAPC,61426001,0.55,48.373833,168,61
BELLE_ILELE_TALUT_2001_56,BELLE_ILELE_TALUT,56009001,-3.218333,47.294333,34,56
BENEVENT_SAPC_2001_23,BENEVENT_SAPC,23021001,1.6285,46.121,460,23
BERGERAC_2001_24,BERGERAC,24037002,0.483333,44.851667,51,24
BERZEME_SA_2001_07,BERZEME_SA,7032003,4.5665,44.6285,760,7
BESANCON_2001_25,BESANCON,25056001,5.988833,47.249,307,25
BESSEY_2001_42,BESSEY,21065001,4.743167,47.086,593,21
BESSINES_2001_87,BESSINES,87014005,1.376,46.112667,301,87
BIARRITZPAYSBASQUE_2001_64,BIARRITZPAYSBASQUE,64024001,-1.534333,43.469333,71,64
BIGNAN_2001_56,BIGNAN,56017002,-2.766667,47.883333,160,56
BISCARROSSE_2001_40,BISCARROSSE,40046001,-1.2475,44.431667,35,40
BOEN_SUR_LIGNON_2001_42,BOEN_SUR_LIGNON,42019004,4.007333,45.756333,448,42
BOISSYLECHAT_2001_77,BOISSYLECHAT,77042001,3.14,48.825,133,77
BONNEVAUX_2001_25,BONNEVAUX,74041001,6.678333,46.311667,800,74
BORDEAUXMERIGNAC_2001_33,BORDEAUXMERIGNAC,33281001,-0.691333,44.830667,47,33
BORS_2001_16,BORS,16052001,0.118333,45.346667,94,16
BOURBONLANCY_2001_71,BOURBONLANCY,71047004,3.7385,46.6105,210,71
BOURBON_SAPC_2001_03,BOURBON_SAPC,3036002,3.0495,46.58,270,3
BOURGARGENTAL_2001_42,BOURGARGENTAL,42023004,4.5735,45.298667,514,42
BOURGES_2001_18,BOURGES,18033001,2.359833,47.059167,161,18
BOURG_ST_MAURICE_2001_73,BOURG_ST_MAURICE,73054001,6.763333,45.612667,865,73
BOUSSAC_SAPC_2001_23,BOUSSAC_SAPC,23031002,2.228333,46.343333,380,23
BOUTEVILLE_2001_16,BOUTEVILLE,16057001,-0.116667,45.6,68,16
BRESTGUIPAVAS_2001_29,BRESTGUIPAVAS,29075001,-4.391167,48.453833,92,29
BRIANCON_2001_05,BRIANCON,5023008,6.638333,44.896667,1352,5
BRIGNOGAN_2001_29,BRIGNOGAN,29021001,-4.331,48.6765,9,29
BRIVE_2001_19,BRIVE,19031008,1.473333,45.146667,115,19
BUGEAT_2001_19,BUGEAT,19033001,1.930333,45.602667,694,19
BUHY_2001_95,BUHY,95119001,1.6945,49.194,90,95
BUSSON_SAPC_2001_52,BUSSON_SAPC,52084002,5.3605,48.328833,387,52
CABANAC_ET_VILL_2001_33,CABANAC_ET_VILL,33077002,-0.55,44.568333,72,33
CAENCARPIQUET_2001_14,CAENCARPIQUET,14137001,-0.456167,49.18,67,14
CALAISMARCK_2001_62,CALAISMARCK,62548001,1.966667,50.966667,3,62
CALVI_2001_20,CALVI,20050001,8.7915,42.5295,57,20
CAMPS_2001_19,CAMPS,19034001,1.988333,44.983667,519,19
CAPDELAHEVE_2001_76,CAPDELAHEVE,76552001,0.071167,49.509,100,76
CAPFERRET_2001_33,CAPFERRET,33236002,-1.252,44.630667,8,33
CAP_BEAR_2001_66,CAP_BEAR,66148001,3.133667,42.515333,82,66
CARCASSONNE_2001_11,CARCASSONNE,11069001,2.2955,43.215333,128,11
CARPENTRAS_2001_84,CARPENTRAS,84031001,5.058333,44.083667,98,84
CAVAILLON_2001_84,CAVAILLON,84035003,5.032333,43.8565,70,84
CELLIEU_2001_42,CELLIEU,42032001,4.538667,45.533833,493,42
CERISIERES_2001_52,CERISIERES,52091003,5.083333,48.308333,332,52
CEYZERIAT_SAPC_2001_01,CEYZERIAT_SAPC,1072001,5.287667,46.204333,260,1
CHAMBERET_2001_19,CHAMBERET,19036001,1.724667,45.573667,444,19
CHAMBON_VOUEIZE_2001_23,CHAMBON_VOUEIZE,23045001,2.424667,46.186833,329,23
CHAMPAGNOLE_2001_39,CHAMPAGNOLE,39097003,5.886,46.756833,537,39
CHANNAY_LATHAN_2001_37,CHANNAY_LATHAN,37055002,0.255333,47.4795,87,37
CHAREILCINTRAT_SAPC_2001_03,CHAREILCINTRAT_SAPC,3059001,3.225667,46.275833,286,3
CHASTREIX_2001_63,CHASTREIX,63098001,2.7745,45.533,1385,63
CHATEAUNEUF_DU_PAPE_2001_84,CHATEAUNEUF_DU_PAPE,84037002,4.811333,44.0815,106,84
CHATEAUROUX_DEOLS_2001_36,CHATEAUROUX_DEOLS,36063001,1.741,46.869833,158,36
CHATEAU_CHINON_2001_58,CHATEAU_CHINON,58062001,3.934333,47.070333,598,58
CHEILLE_2001_37,CHEILLE,37067003,0.403833,47.260833,60,37
CHERONNAC_SAPC_2001_87,CHERONNAC_SAPC,87044001,0.76,45.753833,295,87
CHEVILLON_SAPC_2001_52,CHEVILLON_SAPC,52123003,5.113833,48.522833,170,52
CHEYLARD_SA_2001_07,CHEYLARD_SA,7064001,4.4375,44.914833,418,7
CHINON_VITI_2001_37,CHINON_VITI,37072002,0.233833,47.184333,76,37
CHIRAC_2001_48,CHIRAC,48049001,3.216667,44.536667,1000,48
CHIZE_2001_79,CHIZE,79090001,-0.346667,46.1,90,79
CLERMONTFD_2001_63,CLERMONTFD,63113001,3.149333,45.786833,331,63
COGNAC_2001_16,COGNAC,16089001,-0.315833,45.665,30,16
COGOLIN_SAPC_2001_83,COGOLIN_SAPC,83042001,6.510333,43.261667,31,83
COLOMBELAFOSSECIVC_2001_10,COLOMBELAFOSSECIVC,10102001,4.779667,48.261667,252,10
COLOMBIER_VIEUX_SA_2001_07,COLOMBIER_VIEUX_SA,7069001,4.698,45.063667,408,7
COL_DE_LA_LOGE_SAPC_2001_42,COL_DE_LA_LOGE_SAPC,42040001,3.780333,45.743833,1261,42
COL_REPUBLIQUE_2001_42,COL_REPUBLIQUE,42224003,4.470833,45.352667,1071,42
COMMENTRY_2001_03,COMMENTRY,3082003,2.746667,46.295,370,3
CONDECOURT_2001_95,CONDECOURT,95170002,1.940833,49.0415,61,95
CONTES_2001_06,CONTES,6048003,7.316667,43.8,200,6
CORTE_FDF_2001_20,CORTE_FDF,20096005,9.174333,42.299833,362,20
COUHE_2001_86,COUHE,86082003,0.176333,46.283167,149,86
CUERSPOUVEREL_2001_83,CUERSPOUVEREL,83049003,6.085833,43.2395,121,83
CUERS_2001_83,CUERS,83049005,6.131333,43.247667,72,83
CUNFIN_SAPC_2001_10,CUNFIN_SAPC,10119001,4.6785,48.0365,315,10
DAMBLAINVILLE_2001_14,DAMBLAINVILLE,14216001,-0.148667,48.928,155,14
DAMMARTIN_DDE_2001_77,DAMMARTIN_DDE,77153003,2.704167,49.062167,111,77
DANGEFLEAU_2001_86,DANGEFLEAU,86092002,0.618833,46.916667,70,86
DANNEMARIESUR_2001_25,DANNEMARIESUR,25195001,5.872833,47.201333,267,25
DAX_2001_40,DAX,40088002,-1.055,43.706667,15,40
DECIZE_2001_58,DECIZE,58095001,3.455,46.818667,192,58
DIGNE_2001_04,DIGNE,4070008,6.225,44.083333,585,4
DIJONLONGVIC_2001_21,DIJONLONGVIC,21473001,5.088333,47.267833,219,21
DINARD_2001_35,DINARD,35228001,-2.076333,48.584833,65,35
DOLDEBRETAGNE_2001_35,DOLDEBRETAGNE,35095001,-1.75,48.55,20,35
DOSNON_2001_10,DOSNON,10130001,4.224667,48.609167,115,10
DOUSSAY_2001_86,DOUSSAY,86096001,0.287,46.852667,95,86
DROYES_2001_52,DROYES,52180002,4.700167,48.5065,124,52
DUNSURAURON_2001_18,DUNSURAURON,18087003,2.557833,46.9055,167,18
DUN_LE_PALESTEL_2001_23,DUN_LE_PALESTEL,23075001,1.666833,46.317833,365,23
EAUZE_2001_32,EAUZE,32119003,0.1325,43.862333,165,32
ECHALLAT_2001_16,ECHALLAT,16123001,-0.033333,45.733333,116,16
EMBRUN_2001_05,EMBRUN,5046001,6.508667,44.571167,873,5
EPENOY_2001_25,EPENOY,25219002,6.366333,47.127167,752,25
EPINAL_2001_88,EPINAL,88160003,6.446667,48.176667,365,88
ERNEE_2001_53,ERNEE,53096004,-0.9625,48.295667,168,53
ESTERNAY_2001_51,ESTERNAY,51237002,3.579667,48.742,185,51
EUS_2001_66,EUS,66074002,2.446333,42.630167,321,66
EVREUXHUEST_2001_27,EVREUXHUEST,27347001,1.221667,49.025,138,27
FAYLBILLOT_SAPC_2001_52,FAYLBILLOT_SAPC,52197003,5.615333,47.784333,347,52
FELLETIN_2001_23,FELLETIN,23079002,2.186,45.880167,635,23
FERRIERELARCON_2001_37,FERRIERELARCON,37107001,0.875,46.9875,116,37
FERTEHAUTERIVE_2001_03,FERTEHAUTERIVE,3114001,3.330167,46.375333,226,3
FIGARI_2001_20,FIGARI,20114002,9.103667,41.505167,20,20
FIGEAC_2001_46,FIGEAC,46102006,2.033333,44.583333,290,46
FIRMINY_2001_42,FIRMINY,42095001,4.2885,45.378167,515,42
FONDETTES_2001_37,FONDETTES,37109001,0.604167,47.425333,93,37
FONTAINEDUBER_SAPC_2001_63,FONTAINEDUBER_SAPC,63263005,2.991667,45.7995,971,63
FONTENAYTRES_2001_77,FONTENAYTRES,77192002,2.823833,48.691667,105,77
FONTENAY_2001_85,FONTENAY,85092002,-0.813333,46.466667,14,85
FREJUS_2001_83,FREJUS,73157004,6.674167,45.193667,1228,73
GENERARGUES_2001_30,GENERARGUES,30129001,3.977667,44.073333,139,30
GENOLHAC_2001_30,GENOLHAC,30130001,3.9615,44.342833,519,30
GIMEUX_2001_16,GIMEUX,16152001,-0.35,45.65,22,16
GOURDON_2001_46,GOURDON,46127001,1.396667,44.745,260,46
GRAMMOND_SAPC_2001_42,GRAMMOND_SAPC,42102002,4.442833,45.564833,803,42
GRANDCHAMP_SAPC_2001_89,GRANDCHAMP_SAPC,89192001,3.1895,47.7815,180,89
GRASSE_2001_06,GRASSE,6069008,6.9395,43.653667,183,6
GRENOBLEST_GEOIRS_2001_38,GRENOBLEST_GEOIRS,38384001,5.313333,45.364,384,38
GRENOBLE_LVD_2001_38,GRENOBLE_LVD,38538002,5.8485,45.217167,220,38
GROSLAY_2001_95,GROSLAY,95288001,2.34,48.986667,88,95
GUERETGRANCHER_2001_23,GUERETGRANCHER,23096007,1.867167,46.160667,546,23
GUERET_BONGEOT_2001_23,GUERET_BONGEOT,23096001,1.879333,46.1805,402,23
GUIMPS_2001_16,GUIMPS,16160002,-0.25,45.466667,95,16
HUPARLAC_2001_12,HUPARLAC,12116099,2.763333,44.713333,860,12
HYERESPLAGE_2001_83,HYERESPLAGE,83069016,6.1545,43.115667,9,83
HYERES_2001_83,HYERES,83069001,6.147,43.1005,2,83
ILEDEBREHAT_2001_22,ILEDEBREHAT,22016002,-3.005,48.858333,26,22
ILE_DU_LEVANT_2001_83,ILE_DU_LEVANT,83069003,6.469333,43.0325,118,83
ILE_ROUSSE_2001_20,ILE_ROUSSE,20093002,8.922667,42.633167,142,20
ISENBASSIGNY_2001_52,ISENBASSIGNY,52248001,5.45,48.036667,391,52
ISSOIRE_2001_63,ISSOIRE,63178001,3.262333,45.535333,372,63
ISTRES_2001_13,ISTRES,13047002,4.988333,43.513333,44,13
JARNAC_2001_16,JARNAC,16167001,-0.15,45.688333,17,16
JOIGNY_2001_89,JOIGNY,89206001,3.370833,47.982833,75,89
JOUELESTOURS_2001_37,JOUELESTOURS,37122003,0.665333,47.337167,93,37
JUILLACLECOQ_2001_16,JUILLACLECOQ,16171001,-0.258333,45.580167,83,16
LABLACHERE_DROME_2001_07,LABLACHERE_DROME,7117001,4.234833,44.461333,265,7
LANDESGENUSSON_2001_85,LANDESGENUSSON,85119001,-1.1255,46.968333,100,85
LANDIVISIAU_2001_29,LANDIVISIAU,29264001,-4.151833,48.532,109,29
LANNION_AERO_2001_22,LANNION_AERO,22113006,-3.468667,48.755333,85,22
LANOEBLANCHE_2001_35,LANOEBLANCHE,35202001,-1.765,47.780167,89,35
LANVEOC_2001_29,LANVEOC,29120001,-4.439333,48.279333,81,29
LAUTERBOURG_SA_2001_67,LAUTERBOURG_SA,67261003,8.166667,48.97,110,67
LAVALENTRAMMES_2001_53,LAVALENTRAMMES,53094001,-0.739333,48.032333,99,53
LA_BROSSEMX_2001_77,LA_BROSSEMX,77054001,3.023333,48.351667,77,77
LA_COURTINE_2001_23,LA_COURTINE,23067001,2.263667,45.702667,772,23
LA_PESSE_2001_39,LA_PESSE,39413001,5.843,46.302833,1133,39
LA_ROCHELLE_2001_17,LA_ROCHELLE,17300004,-1.151667,46.161667,7,17
LA_ROCHE_SUR_YON_2001_85,LA_ROCHE_SUR_YON,85191003,-1.381833,46.705,88,85
LA_TOUCHE_STNA_2001_79,LA_TOUCHE_STNA,79253002,-0.204,46.459333,129,79
LA_WANTZENAU_SA_2001_67,LA_WANTZENAU_SA,67519001,7.832333,48.634167,135,67
LERE_2001_18,LERE,18125004,2.893167,47.457833,139,18
LESRICEYSCIVC_2001_10,LESRICEYSCIVC,10317002,4.3305,47.981333,274,10
LESRICEYS_2001_10,LESRICEYS,10317001,4.372,47.997167,185,10
LES_ARCS_SAPC_2001_83,LES_ARCS_SAPC,83004004,6.470833,43.451,55,83
LES_SABLES_D_OL_2001_85,LES_SABLES_D_OL,85194001,-1.793333,46.501667,5,85
LES_VANS_SA_2001_07,LES_VANS_SA,7334003,4.118,44.411667,275,7
LEVIGEANT_2001_86,LEVIGEANT,86289001,0.669667,46.242833,117,86
LEZIGNANCORBIERES_2001_11,LEZIGNANCORBIERES,11203004,2.728833,43.173,60,11
LE_BOURGET_2001_95,LE_BOURGET,95088001,2.427667,48.967333,49,95
LE_CASTELLET_SAPC_2001_83,LE_CASTELLET_SAPC,83035002,5.770167,43.184,66,83
LE_FIED_SA_2001_39,LE_FIED_SA,39225001,5.72,46.766667,525,39
LE_LOUROUX_2001_37,LE_LOUROUX,37136001,0.788333,47.158333,100,37
LE_LUC_2001_83,LE_LUC,83031001,6.386167,43.383167,80,83
LE_MANS_2001_72,LE_MANS,72181001,0.194167,47.945833,51,72
LE_PUYLOUDES_2001_43,LE_PUYLOUDES,43062001,3.764,45.0745,833,43
LE_TATRE_2001_16,LE_TATRE,16380001,-0.216667,45.4,95,16
LE_VIEUX_CERIER_SAPC_2001_16,LE_VIEUX_CERIER_SAPC,16403001,0.442,45.9675,162,16
