nom_fichier,station,id,longitude,latitude,altitude,departement
ABBEVILLE_2003_80,ABBEVILLE,80001005,1.835,50.106667,68,80
AGENLA_GARENNE_2003_47,AGENLA_GARENNE,47091001,0.594667,44.172167,58,47
AHUN_LYCEE_2003_23,AHUN_LYCEE,23001001,2.029833,46.093333,460,23
AILLEVILLE_SAPC_2003_10,AILLEVILLE_SAPC,10002001,4.685667,48.254167,195,10
AIX_EN_PROVENCE_2003_13,AIX_EN_PROVENCE,13001009,5.4245,43.5295,173,13
AJACCIO_2003_20,AJACCIO,20004002,8.792667,41.918,5,20
ALBI_2003_81,ALBI,81004006,2.141667,43.928333,170,81
ALENCON_2003_61,ALENCON,61001001,0.110167,48.4455,143,61
ALTKIRCH_2003_68,ALTKIRCH,68004001,7.253333,47.618333,350,68
AMBERT_2003_63,AMBERT,63003004,3.742667,45.516833,555,63
AMBOISE_LYCEE_2003_37,AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
ARBOIS_SAPC_2003_39,ARBOIS_SAPC,39013004,5.740167,46.896,313,39
ARGENTAT_2003_19,ARGENTAT,19010001,1.9375,45.101333,190,19
ARGENTEUIL_2003_95,ARGENTEUIL,95018002,2.253333,48.961667,73,95
ARLES_2003_13,ARLES,13004003,4.693833,43.51,1,13
ARNAY_SAPC_2003_21,ARNAY_SAPC,21567001,4.498667,47.124833,396,21
ARQUETTESENVAL_2003_11,ARQUETTESENVAL,11016003,2.503333,43.100833,240,11
AUBUSSON_SAPC_2003_23,AUBUSSON_SAPC,23008004,2.187833,45.957833,486,23
AUCH_2003_32,AUCH,32013005,0.601167,43.689,122,32
AURELLEVERLAC_SAPC_2003_12,AURELLEVERLAC_SAPC,12014001,3.007667,44.5335,1076,12
AUTUN_2003_71,AUTUN,71014003,4.301667,46.951667,360,71
AUXERRE_2003_89,AUXERRE,89346001,3.5455,47.8015,207,89
AUZANCES_SAPC_2003_23,AUZANCES_SAPC,23013001,2.489333,46.0215,564,23
AVALLON_2003_89,AVALLON,89025001,3.91,47.488333,253,89
AVIGNON_2003_84,AVIGNON,84007005,4.9025,43.911333,34,84
AVIZECIVC_2003_51,AVIZECIVC,51029004,4.01,48.978,175,51
AVORD_2003_18,AVORD,18092001,2.642167,47.052167,175,18
BAIGNEUX_LES_JUIFS_2003_21,BAIGNEUX_LES_JUIFS,21043001,4.645167,47.600333,415,21
BALEMULHOUSE_2003_68,BALEMULHOUSE,68297001,7.51,47.614333,263,68
BALLON_SAPC_2003_90,BALLON_SAPC,90065003,6.842667,47.812667,1153,90
BARGEMON_2003_83,BARGEMON,83011001,6.564667,43.621833,372,83
BASTIA_2003_20,BASTIA,20148001,9.485167,42.540667,10,20
BEAUCOUZE_2003_49,BEAUCOUZE,49020001,-0.614333,47.479,50,49
BEAUMONT_SAPC_2003_37,BEAUMONT_SAPC,37023002,1.211667,47.177167,126,37
BELFORT_2003_90,BELFORT,90010001,6.876,47.629333,422,90
BELLAC_2003_87,BELLAC,87011002,1.052667,46.120333,241,87
BELLEGARDEEND_2003_26,BELLEGARDEEND,26047001,5.454333,44.535167,1017,26
BELLEGARDE_2003_01,BELLEGARDE,23020001,2.3,45.978333,588,23
BENEVENT_SAPC_2003_23,BENEVENT_SAPC,23021001,1.6285,46.121,460,23
BERGERAC_2003_24,BERGERAC,24037002,0.483333,44.851667,51,24
BERGHEIMINRAE_2003_68,BERGHEIMINRAE,68028001,7.345833,48.216333,309,68
BESANCON_2003_25,BESANCON,25056001,5.988833,47.249,307,25
BESIGNAN_2003_26,BESIGNAN,26050001,5.317,44.3205,556,26
BESSINES_2003_87,BESSINES,87014005,1.376,46.112667,301,87
BEZIERSVIAS_2003_34,BEZIERSVIAS,34209002,3.352667,43.322,15,34
BIARRITZPAYSBASQUE_2003_64,BIARRITZPAYSBASQUE,64024001,-1.534333,43.469333,71,64
BLENEAU_2003_89,BLENEAU,89046001,2.957833,47.695833,155,89
BOEN_SUR_LIGNON_2003_42,BOEN_SUR_LIGNON,42019004,4.007333,45.756333,448,42
BONNAT_2003_23,BONNAT,23025001,1.916333,46.315333,382,23
BORDEAUXMERIGNAC_2003_33,BORDEAUXMERIGNAC,33281001,-0.691333,44.830667,47,33
BORS_2003_16,BORS,16052001,0.118333,45.346667,94,16
BOURGARGENTAL_2003_42,BOURGARGENTAL,42023004,4.5735,45.298667,514,42
BOURGES_2003_18,BOURGES,18033001,2.359833,47.059167,161,18
BOURG_ST_MAURICE_2003_73,BOURG_ST_MAURICE,73054001,6.763333,45.612667,865,73
BOUSSAC_SAPC_2003_23,BOUSSAC_SAPC,23031002,2.228333,46.343333,380,23
BOUTEVILLE_2003_16,BOUTEVILLE,16057001,-0.116667,45.6,68,16
BOUYSURORVIN_2003_10,BOUYSURORVIN,10057001,3.504833,48.439833,102,10
BRAYETLU_2003_95,BRAYETLU,95101001,1.668333,49.141667,30,95
BRESTGUIPAVAS_2003_29,BRESTGUIPAVAS,29075001,-4.391167,48.453833,92,29
BREVILLE_2003_16,BREVILLE,16060001,-0.273333,45.796667,20,16
BRIANCON_2003_05,BRIANCON,5023008,6.638333,44.896667,1352,5
BRIE_2003_16,BRIE,9067001,1.524333,43.202667,265,9
BRIVE_2003_19,BRIVE,19031008,1.473333,45.146667,115,19
BUIS_BARONNIES_2003_26,BUIS_BARONNIES,26063002,5.270667,44.277833,390,26
BURIE_2003_17,BURIE,17072001,-0.426667,45.783333,56,17
CAENCARPIQUET_2003_14,CAENCARPIQUET,14137001,-0.456167,49.18,67,14
CALVI_2003_20,CALVI,20050001,8.7915,42.5295,57,20
CANDSA_2003_49,CANDSA,49054002,-1.014,47.560333,57,49
CARBINICOL_DE_MELA_2003_20,CARBINICOL_DE_MELA,20061002,9.184333,41.669667,1105,20
CARCASSONNE_2003_11,CARCASSONNE,11069001,2.2955,43.215333,128,11
CARDET_2003_30,CARDET,30068001,4.079667,44.021,109,30
CASSIS_2003_13,CASSIS,13022003,5.503167,43.222167,212,13
CASTELNAU_MAGNOAC_2003_65,CASTELNAU_MAGNOAC,65129003,0.5175,43.277833,298,65
CAUSSENS_2003_32,CAUSSENS,32095001,0.448,43.938667,184,32
CESSY_2003_01,CESSY,1071001,6.080333,46.310333,507,1
CHALONCHAMPFO_2003_71,CHALONCHAMPFO,71081001,4.825667,46.827,187,71
CHAMBERET_2003_19,CHAMBERET,19036001,1.724667,45.573667,444,19
CHAMBRECYCIVC_2003_51,CHAMBRECYCIVC,51111001,3.824167,49.183333,150,51
CHAMPAGNOLE_2003_39,CHAMPAGNOLE,39097003,5.886,46.756833,537,39
CHANAC_2003_48,CHANAC,48039001,3.3405,44.465333,672,48
CHANNAY_LATHAN_2003_37,CHANNAY_LATHAN,37055002,0.255333,47.4795,87,37
CHAPELLEENVERCORS_SAPC_2003_26,CHAPELLEENVERCORS_SAPC,26074001,5.422167,44.9615,879,26
CHAPELLEMOULIE_2003_86,CHAPELLEMOULIE,86058001,0.502667,46.6475,121,86
CHARLEVILLEMEZ_2003_08,CHARLEVILLEMEZ,8105005,4.643167,49.782833,145,8
CHATEAUDUN_2003_28,CHATEAUDUN,28198001,1.376333,48.061333,126,28
CHATEAUNEUF_2003_16,CHATEAUNEUF,45082001,2.221667,47.865,114,45
CHATILLONCIVC_2003_51,CHATILLONCIVC,51136003,3.7595,49.098667,153,51
CHAUMONT_SA_2003_55,CHAUMONT_SA,55108003,5.255,48.926667,240,55
CHEILLE_2003_37,CHEILLE,37067003,0.403833,47.260833,60,37
CHERONNAC_SAPC_2003_87,CHERONNAC_SAPC,87044001,0.76,45.753833,295,87
