nom_fichier,station,id,longitude,latitude,altitude,departement
ABBEVILLE_2016_80,ABBEVILLE,80001005,1.835,50.106667,68,80
AEROPORT_METZNANCYLORRAINE_2016_57,AEROPORT_METZNANCYLORRAINE,57251001,6.243167,48.979333,260,57
AERO_ROANNE_2016_42,AERO_ROANNE,42253002,4.0045,46.055,337,42
AGENLA_GARENNE_2016_47,AGENLA_GARENNE,47091001,0.594667,44.172167,58,47
AHUN_LYCEE_2016_23,AHUN_LYCEE,23001001,2.029833,46.093333,460,23
AJACCIOMILELLI_SAPC_2016_20,AJACCIOMILELLI_SAPC,20004014,8.720833,41.9385,86,20
AJACCIO_2016_20,AJACCIO,20004002,8.792667,41.918,5,20
ALAIGNE_2016_11,ALAIGNE,11004001,2.098333,43.1125,293,11
ALBA_SA_2016_07,ALBA_SA,7005002,4.582833,44.538833,223,7
ALBERTVILLE_JO_2016_73,ALBERTVILLE_JO,73011004,6.371833,45.662333,332,73
ALBI_2016_81,ALBI,81004006,2.141667,43.928333,170,81
ALBON_2016_26,ALBON,26002003,4.822333,45.252333,153,26
ALENCON_2016_61,ALENCON,61001001,0.110167,48.4455,143,61
ALLANTNIVOSE_2016_73,ALLANTNIVOSE,73139401,6.211833,45.663833,1684,73
ALLOS_SAPC_2016_04,ALLOS_SAPC,4006005,6.625333,44.2425,1400,4
ALTIER_2016_48,ALTIER,48004001,3.852,44.494,900,48
AMBOISE_LYCEE_2016_37,AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
AMIENSGLISY_2016_80,AMIENSGLISY,80379002,2.3825,49.872,60,80
ANGERS_VILLE_2016_49,ANGERS_VILLE,49007011,-0.5605,47.4535,35,49
ANTIBES_SAPC_2016_06,ANTIBES_SAPC,6004009,7.111167,43.599167,32,6
ANTRAIGUES_SA_2016_07,ANTRAIGUES_SA,7011004,4.352167,44.712167,600,7
ANZATLELUGUET_SAPC_2016_63,ANZATLELUGUET_SAPC,63006002,3.016,45.320167,1270,63
ARBOIS_SAPC_2016_39,ARBOIS_SAPC,39013004,5.740167,46.896,313,39
ARCHAMPS_2016_74,ARCHAMPS,74016001,6.140167,46.131833,560,74
ARGENTAN_2016_61,ARGENTAN,61006005,0.0115,48.718167,170,61
ARGERS_2016_51,ARGERS,51015001,4.849833,49.064333,152,51
ARVIEUX_2016_05,ARVIEUX,5007003,6.728,44.796,1825,5
ARZAL_2016_56,ARZAL,56004001,-2.382667,47.512667,26,56
ASCROS_2016_06,ASCROS,6005001,7.013667,43.922,1173,6
AUBUSSON_SAPC_2016_23,AUBUSSON_SAPC,23008004,2.187833,45.957833,486,23
AUCH_2016_32,AUCH,32013005,0.601167,43.689,122,32
AUPS_2016_83,AUPS,83007004,6.1875,43.641,497,83
AURAY_2016_56,AURAY,56007001,-2.971,47.659167,26,56
AURILLAC_2016_15,AURILLAC,15014004,2.419167,44.8915,632,15
