nom_fichier,station,id,longitude,latitude,altitude,departement
ABBEVILLE_2009_80,ABBEVILLE,80001005.0,1.835,50.106667,68.0,80.0
ACHERES_2009_78,ACHERES,78005002.0,2.126,48.983167,31.0,78.0
AGENLA_GARENNE_2009_47,AGENLA_GARENNE,47091001.0,0.594667,44.172167,58.0,47.0
AHUN_LYCEE_2009_23,AHUN_LYCEE,23001001.0,2.029833,46.093333,460.0,23.0
AIXLES_MILLES_2009_13,AIXLES_MILLES,13001006.0,5.365667,43.504667,106.0,13.0
AIX_EN_PROVENCE_2009_13,AIX_EN_PROVENCE,13001009.0,5.4245,43.5295,173.0,13.0
AJACCIO_2009_20,AJACCIO,20004002.0,8.792667,41.918,5.0,20.0
ALAIGNE_2009_11,ALAIGNE,11004001.0,2.098333,43.1125,293.0,11.0
ALBA_SA_2009_07,ALBA_SA,7005002.0,4.582833,44.538833,223.0,7.0
ALBERTVILLE_JO_2009_73,ALBERTVILLE_JO,73011004.0,6.371833,45.662333,332.0,73.0
ALBI_2009_81,ALBI,81004006.0,2.141667,43.928333,170.0,81.0
ALENCON_2009_61,ALENCON,61001001.0,0.110167,48.4455,143.0,61.0
ALISTRO_2009_20,ALISTRO,20303002.0,9.5415,42.259667,65.0,20.0
ALTIER_2009_48,ALTIER,48004001.0,3.852,44.494,900.0,48.0
AMBERIEU_2009_01,AMBERIEU,1089001.0,5.329333,45.9765,250.0,1.0
AMBOISE_LYCEE_2009_37,AMBOISE_LYCEE,37003004.0,0.977,47.394167,116.0,37.0
AMIENSGLISY_2009_80,AMIENSGLISY,80379002.0,2.3825,49.872,60.0,80.0
AMILLY_2009_45,AMILLY,45004001.0,2.728,47.962167,91.0,45.0
ANGRIE_2009_49,ANGRIE,49008001.0,-0.970333,47.561667,65.0,49.0
ANZATLELUGUET_SAPC_2009_63,ANZATLELUGUET_SAPC,63006002.0,3.016,45.320167,1270.0,63.0
