nom_fichier,station,id,longitude,latitude,altitude,departement
ABBEVILLE_2017_80,ABBEVILLE,80001005,1.835,50.106667,68,80
ACHERES_2017_78,ACHERES,78005002,2.126,48.983167,31,78
ADAST_2017_65,ADAST,65001001,-0.072167,42.972833,446,65
AHUN_LYCEE_2017_23,AHUN_LYCEE,23001001,2.029833,46.093333,460,23
AIGUESMORTES_2017_30,AIGUESMORTES,30003001,4.207,43.537167,1,30
AIX_EN_PROVENCE_2017_13,AIX_EN_PROVENCE,13001009,5.4245,43.5295,173,13
AJACCIOMILELLI_SAPC_2017_20,AJACCIOMILELLI_SAPC,20004014,8.720833,41.9385,86,20
AJACCIO_2017_20,AJACCIO,20004002,8.792667,41.918,5,20
ALBA_SA_2017_07,ALBA_SA,7005002,4.582833,44.538833,223,7
ALENCON_2017_61,ALENCON,61001001,0.110167,48.4455,143,61
ALLAINES_2017_28,ALLAINES,28002001,1.846833,48.1905,133,28
ALLANTNIVOSE_2017_73,ALLANTNIVOSE,73139401,6.211833,45.663833,1684,73
ALTIER_2017_48,ALTIER,48004001,3.852,44.494,900,48
AMBERT_2017_63,AMBERT,63003004,3.742667,45.516833,555,63
AMBOISE_LYCEE_2017_37,AMBOISE_LYCEE,37003004,0.977,47.394167,116,37
ANGERS_VILLE_2017_49,ANGERS_VILLE,49007011,-0.5605,47.4535,35,49
ANNONAY_2017_07,ANNONAY,7010001,4.6705,45.246167,336,7
ANTRAIGUES_SA_2017_07,ANTRAIGUES_SA,7011004,4.352167,44.712167,600,7
ARBOIS_SAPC_2017_39,ARBOIS_SAPC,39013004,5.740167,46.896,313,39
ARBRISSEL_2017_35,ARBRISSEL,35005001,-1.297333,47.927333,75,35
ARGENTAT_2017_19,ARGENTAT,19010001,1.9375,45.101333,190,19
ARGENTON_2017_36,ARGENTON,36006001,1.518333,46.586667,108,36
ARLES_2017_13,ARLES,13004003,4.693833,43.51,1,13
ARNAY_SAPC_2017_21,ARNAY_SAPC,21567001,4.498667,47.124833,396,21
ARVIEUX_2017_05,ARVIEUX,5007003,6.728,44.796,1825,5
ARZAL_2017_56,ARZAL,56004001,-2.382667,47.512667,26,56
ASCROS_2017_06,ASCROS,6005001,7.013667,43.922,1173,6
AUBIGNYSURNERE_2017_18,AUBIGNYSURNERE,18015003,2.427333,47.4995,176,18
AUBUSSON_SAPC_2017_23,AUBUSSON_SAPC,23008004,2.187833,45.957833,486,23
AUCH_2017_32,AUCH,32013005,0.601167,43.689,122,32
AUSSOISCLIM_2017_73,AUSSOISCLIM,73023001,6.744333,45.229833,1467,73
AUXERREPERRIGNY_2017_89,AUXERREPERRIGNY,89295001,3.549667,47.824667,152,89
AUZANCES_SAPC_2017_23,AUZANCES_SAPC,23013001,2.489333,46.0215,564,23
AVIGNON_2017_84,AVIGNON,84007005,4.9025,43.911333,34,84
AVIZECIVC_2017_51,AVIZECIVC,51029004,4.01,48.978,175,51
AVORD_2017_18,AVORD,18092001,2.642167,47.052167,175,18
AYZE_2017_74,AYZE,74024001,6.431333,46.0795,449,74
BALEMULHOUSE_2017_68,BALEMULHOUSE,68297001,7.51,47.614333,263,68
BALLON_SAPC_2017_90,BALLON_SAPC,90065003,6.842667,47.812667,1153,90
BARCELONNETTE_2017_04,BARCELONNETTE,4019005,6.65,44.388333,1135,4
BASTIA_SAPC_2017_20,BASTIA_SAPC,20033015,9.444833,42.704333,26,20
BAUDEMONT_SAPC_2017_71,BAUDEMONT_SAPC,71022001,4.296667,46.2765,337,71
BAZUSAURE_2017_65,BAZUSAURE,65075001,0.3485,42.857833,767,65
BEAUCOUZE_2017_49,BEAUCOUZE,49020001,-0.614333,47.479,50,49
BEAUFORTSGERV_2017_26,BEAUFORTSGERV,26035001,5.139,44.778,379,26
BEAUMONT_2017_74,BEAUMONT,82013001,0.99,43.886667,133,82
BEAUMONT_DU_LAC_2017_87,BEAUMONT_DU_LAC,87009003,1.863167,45.8015,670,87
BEAUVAISTILLE_2017_60,BEAUVAISTILLE,60639001,2.127167,49.4465,89,60
BELLECOTENIVOSE_2017_73,BELLECOTENIVOSE,73071403,6.771167,45.489,2992,73
BELLEGARDEEND_2017_26,BELLEGARDEEND,26047001,5.454333,44.535167,1017,26
BELLEGARDE_2017_01,BELLEGARDE,23020001,2.3,45.978333,588,23
BELLEISLEENTERRE_2017_22,BELLEISLEENTERRE,22005003,-3.3875,48.55,158,22
BELLE_ILELE_TALUT_2017_56,BELLE_ILELE_TALUT,56009001,-3.218333,47.294333,34,56
BENEVENT_SAPC_2017_23,BENEVENT_SAPC,23021001,1.6285,46.121,460,23
BERGERAC_2017_24,BERGERAC,24037002,0.483333,44.851667,51,24
BERGHEIMINRAE_2017_68,BERGHEIMINRAE,68028001,7.345833,48.216333,309,68
BERNAY_2017_27,BERNAY,72033002,-0.058333,48.071667,77,72
BESANCON_2017_25,BESANCON,25056001,5.988833,47.249,307,25
BESIGNAN_2017_26,BESIGNAN,26050001,5.317,44.3205,556,26
BESSEY_2017_21,BESSEY,21065001,4.743167,47.086,593,21
BEZIERSVIAS_2017_34,BEZIERSVIAS,34209002,3.352667,43.322,15,34
BIGNAN_2017_56,BIGNAN,56017002,-2.766667,47.883333,160,56
BLESMES_2017_02,BLESMES,2094001,3.462667,49.009667,222,2
BLOIS_2017_41,BLOIS,41281001,1.212333,47.6785,119,41
BLOYE_2017_74,BLOYE,74035001,5.944667,45.821667,375,74
BOCOGNANO_2017_20,BOCOGNANO,20040004,9.103333,42.104167,1019,20
BONNEVALNIVOSE_2017_73,BONNEVALNIVOSE,73040402,7.051167,45.351667,2741,73
BORDEAUXMERIGNAC_2017_33,BORDEAUXMERIGNAC,33281001,-0.691333,44.830667,47,33
BORMES_LES_MIMOSAS_2017_83,BORMES_LES_MIMOSAS,83019002,6.379333,43.195167,88,83
BOURBON_SAPC_2017_03,BOURBON_SAPC,3036002,3.0495,46.58,270,3
BOURDEAUX_2017_26,BOURDEAUX,26056001,5.142833,44.580167,432,26
BOURGANEUF_2017_23,BOURGANEUF,23030004,1.725833,45.942333,513,23
BOURG_ST_MAURICE_2017_73,BOURG_ST_MAURICE,73054001,6.763333,45.612667,865,73
BOURRANINRAE_2017_47,BOURRANINRAE,47038002,0.413167,44.331833,55,47
BRANNE_SAPC_2017_25,BRANNE_SAPC,25087002,6.472167,47.378,287,25
BROUZET_LES_ALES_2017_30,BROUZET_LES_ALES,30055001,4.284833,44.131167,603,30
BRUSQUE_SAPC_2017_12,BRUSQUE_SAPC,12039001,2.938667,43.7495,858,12
BUGEAT_2017_19,BUGEAT,19033001,1.930333,45.602667,694,19
BUIS_BARONNIES_2017_26,BUIS_BARONNIES,26063002,5.270667,44.277833,390,26
BURE_LES_TEMPLIERS_SAPC_2017_21,BURE_LES_TEMPLIERS_SAPC,21116002,4.948167,47.7195,461,21
BUSTINCE_ST_JEAN_2017_64,BUSTINCE_ST_JEAN,64155001,-1.2145,43.167333,179,64
BU_SAPC_2017_28,BU_SAPC,28064002,1.493167,48.8015,132,28
CAENCARPIQUET_2017_14,CAENCARPIQUET,14137001,-0.456167,49.18,67,14
CALACUCCIA_2017_20,CALACUCCIA,20047006,9.0215,42.3315,811,20
CALAISMARCK_2017_62,CALAISMARCK,62548001,1.966667,50.966667,3,62
CALVI_2017_20,CALVI,20050001,8.7915,42.5295,57,20
CAMBRAIEPINOY_2017_62,CAMBRAIEPINOY,62298001,3.163833,50.2255,76,62
CAMBREMER_2017_14,CAMBREMER,14126001,0.041833,49.1455,125,14
CAMPILE_SAPC_2017_20,CAMPILE_SAPC,20054002,9.353,42.494667,499,20
CANNES_2017_06,CANNES,6029003,7.066667,43.516667,10,6
CAPDELAHEVE_2017_76,CAPDELAHEVE,76552001,0.071167,49.509,100,76
CAPFERRET_2017_33,CAPFERRET,33236002,-1.252,44.630667,8,33
CAPTIEUXRETJONS_2017_40,CAPTIEUXRETJONS,40164004,-0.286167,44.185,131,40
CAP_BEAR_2017_66,CAP_BEAR,66148001,3.133667,42.515333,82,66
CAP_CORSE_2017_20,CAP_CORSE,20107001,9.3595,43.003833,72,20
CARCASSONNE_2017_11,CARCASSONNE,11069001,2.2955,43.215333,128,11
CARDET_2017_30,CARDET,30068001,4.079667,44.021,109,30
CARROS_SAPC_2017_06,CARROS_SAPC,6033002,7.209167,43.786667,78,6
CASSIS_2017_13,CASSIS,13022003,5.503167,43.222167,212,13
CASTELNAUDARY_2017_11,CASTELNAUDARY,11076003,1.953333,43.316667,160,11
CAUNESMINERVOIS_2017_11,CAUNESMINERVOIS,11081001,2.525167,43.345333,302,11
CAUSSOLS_2017_06,CAUSSOLS,6037002,6.923167,43.752333,1268,6
